matricola,cognome,nome,residenza,classe,nazione,data_nascita,cap
20529,MELLINA,RICCARDO,CASTELNUOVO DEL GARDA,1PE,Italy,11/08/2004,37133
20460,DONATIVO,NICHOLAS,VERONA,1FL,Italy,11/06/2007,37135
19027,LEONARDI,FILIPPO,GREZZANA,5AE,Italy,29/12/2004,37132
19107,CHIARELLO,GIOELE,VERONA,2LE,Italy,03/12/2006,37135
18374,GARMACIA,MATTEO,VALEGGIO SUL MINCIO,1SE,Italy,02/06/2007,37047
20147,ABOUFARAJ,AARON,CASTEL D'AZZANO,4DI,Italy,30/04/2005,37066
18907,BRENTONEGO,TONI EMILOV,ROVERE' VERONESE,2IL,Italy,22/06/2005,37059
18793,RIGO,SIMONE MARIO,SAN GIOVANNI LUPATOTO,1NE,Italy,08/05/2006,37134
20073,SCANDOLARA,DAMIANO,CASTELNUOVO DEL GARDA,3AI,Italy,05/12/2005,37138
19322,DELUCA,MARCO,AFFI,1OE,Italy,16/06/2004,37022
20401,MARCHETTO,MATTIA,VERONA,4CI,Italy,25/11/2003,37013
18886,BERTOLO,NICOLO',MOZZECANE,5EI,Moldova,02/04/2003,37029
20207,CORDIOLI,ANDREA,VERONA,5AI,Italy,15/11/2005,37050
20052,POCOVNICU,PIETRO,VERONA,2FL,Italy,04/08/2004,37100
19441,MIRISAGE FERNANDO,YI,GREZZANA,3AI,Italy,15/08/2003,37012
18530,BERTAGNOLI,MATTIA,POVEGLIANO VERONESE,2PE,Italy,11/11/2004,37060
19194,LONARDI,LORENZO,SANT'AMBROGIO DI VALPOLICELLA,4AT,Italy,07/06/2005,37060
20123,GAIO,FILIPPO,VERONA,1GL,Italy,11/06/2006,37042
19696,BAGLIERI,RAFFAELE,VERONA,3AT,Romania,14/01/2005,37010
18448,SANTINELLI,NICOLA,OPPEANO,3GI,Italy,04/08/2006,37138
18549,VALDO,ZAID,TORRI DEL BENACO,2NE,Italy,16/12/2004,37066
19776,SANDOIU,FEDERICO,ZEVIO,5AI,Italy,14/06/2005,37057
19537,DORELLA,MANUEL,VERONA,5CI,Italy,16/05/2004,37028
19423,FAVETTA,MICHELE,CASTELNUOVO DEL GARDA,4CI,Italy,16/09/2005,37059
18960,ABABOU,ALESSIO,PESCANTINA,3AT,Italy,01/06/2002,37139
19800,ZANUSO,FLAVIO,SAN GIOVANNI LUPATOTO,1FL,Italy,18/08/2002,37017
19957,BERGAMO,TOMMASO,AFFI,2HL,Italy,06/03/2006,37026
19180,CHOUCHANE,LUCA,BOVOLONE,5BL,Italy,17/08/2006,37026
20030,CALIARI,GIOVANNI,COLOGNOLA AI COLLI,4BL,Italy,12/10/2007,37050
19764,VIANINI,EMANUEL,VERONA,1BI,Pakistan,28/01/2007,37060
18779,FORCINITI,ROBERT GABRIEL,VERONA,2OE,Italy,16/03/2007,37010
19460,SERRATORE,ANDREA,SAN GIOVANNI LUPATOTO,2HL,Italy,28/04/2007,37067
19976,SANDON,ALESSANDRO,PESCANTINA,4BE,Romania,23/12/2003,37060
19483,MASSELLA,TOMMASO,VERONA,5BL,Romania,14/10/2007,37069
20302,CASTAGNA,ALESSIA,SAN PIETRO IN CARIANO,1BI,Italy,19/07/2004,37051
20440,DE ANGELI,PIETRO,VERONA,4EI,Italy,18/04/2002,37011
19545,IACONI,JETTINDER,FERRARA DI MONTE BALDO,2FL,Romania,07/11/2007,37063
18974,ARBETTI,ENRICO,VERONA,2AI,Italy,29/09/2004,37030
18824,MARCONI,LORENZO,GREZZANA,3BI,Italy,02/07/2003,37136
19016,GINCEANU,PIETRO,SONA,3FI,Romania,31/08/2006,37026
18245,SERPELLONI,LEONARDO GABRIELE,VERONA,5EI,Ukraine,26/04/2002,37136
19301,BARONI,EMANUELE,PESCANTINA,2NE,Italy,22/02/2005,37135
18718,ALFIERI,ALBERTO,CASTEL D'AZZANO,1BI,Italy,10/12/2007,37060
19014,FEZGA,EMANUELE,SAN PIETRO IN CARIANO,4AL,Romania,25/02/2005,37023
19342,OSTOJIC,LUDOVICO,VERONA,2IL,Italy,21/07/2007,37024
18879,TOSI,GIOVANNI,ZEVIO,5BL,Italy,12/01/2007,37012
19050,BEZNEA,ALESSANDRO VALENTIN,BOVOLONE,3AI,Italy,02/09/2005,37031
19431,TURRINI,STELLA,SOAVE,4EI,Italy,22/11/2002,37137
19444,VINCO,MATTIA,SAN PIETRO IN CARIANO,3AT,Italy,08/11/2007,37010
20072,PONNAMPERUMEGE,GIACOMO,GREZZANA,3AI,Italy,11/09/2007,37139
19823,BORIOLI,DAVIDE,ISOLA DELLA SCALA,3AC,Italy,01/10/2004,37019
18610,DE MARTINI DI VALLE APERTA,VALERIO,VERONA,1EI,Sri Lanka,04/01/2006,37042
19341,TRAINOTTI,DARIS,PESCANTINA,2HL,Italy,31/01/2007,37063
20423,MONTRESOR,LUCA,VERONA,2IL,Italy,17/01/2007,37132
19898,MORARI,LUCA,CERRO VERONESE,1DI,Brazil,28/11/2005,37063
19073,AMBROSI,SACHITH NICOLA,SONA,1BI,Italy,09/04/2005,37022
19795,CIANCETTA,DAVIDE,VERONA,1EI,Italy,09/07/2003,37019
20451,PASCUAL LOPEZ,ALEXANDRU,VERONA,1AI,Italy,15/12/2006,37057
18687,COLTRI,ANISS,VERONA,1CI,Italy,29/11/2005,37026
20405,ZANONI,ALESSANDRO,VERONA,4BI,Italy,19/01/2003,37036
20349,TOMMASI,MATTEO,BUSSOLENGO,4EI,Italy,08/02/2006,37069
19886,TELHA,ELIA,PESCANTINA,3BI,Italy,16/08/2005,37042
19374,MILANI,WARNAKULASURIYA SASIDU DANANJAYA,RONCO ALL'ADIGE,3BL,Italy,18/02/2007,37060
19922,DE ROSSI,LEONARDO YAN,VERONA,1BI,Italy,03/02/2006,37039
18535,MASEWGE FERNANDO,ALBERTO,ERBEZZO,1OE,Italy,09/12/2003,37030
18625,BETTINAZZI,KEVIN,VERONA,3EI,Italy,14/06/2007,37067
18597,LISSANDRINI,LUCA,VERONA,4BL,Romania,04/12/2006,37069
20059,DAL MASO,MARCO,VALEGGIO SUL MINCIO,5AE,Italy,23/12/2007,37024
20287,RIZZI,VERON LAKSHITHA,NEGRAR,1EI,Italy,14/09/2005,37014
18248,CONSTANTI AZOLINI,MATTEO,SANT'AMBROGIO DI VALPOLICELLA,1OE,Italy,25/02/2005,37026
20169,CALONEGO,IRINA,ISOLA DELLA SCALA,1SE,Italy,27/11/2006,37136
20490,BRENTEGANI,DENIS,ISOLA RIZZA,2IL,Italy,25/11/2007,37039
20195,GASPARRINI,FRANCESCO,VERONA,5AC,Italy,04/01/2004,37142
20385,TONEL,ANDREA,SAN MARTINO BUON ALBERGO,3BI,Italy,18/01/2004,37138
18592,FERRARI,FILIPPO,CASTEL D'AZZANO,1QL,Italy,12/12/2005,37010
19649,SELJMONI,SIMONE,VERONA,4BI,Italy,30/08/2005,37060
19195,FAZIO,ALESSIO,SAN BONIFACIO,4BL,Italy,12/01/2007,37062
18999,BRINZA,MARCO,VERONA,3BI,Italy,20/05/2004,37055
19672,DE BATTISTI,MARCO,BUSSOLENGO,1SE,Italy,19/09/2007,37135
20507,POLLANI,VLADIMIR,SAN GIOVANNI LUPATOTO,1OE,Italy,10/03/2006,37142
19131,VENTURI,GABRIELE,NEGRAR,3AC,Italy,22/03/2004,37020
20499,VENTURELLI,GUIDO,OPPEANO,3AI,Italy,09/12/2003,37064
19304,TAMPU,EGLE,SONA,3EI,China,29/05/2006,37138
19224,TOMELLERI,SIMONE,VERONA,1BI,Italy,21/02/2002,37028
20027,CERIANI,DANIEL,VERONA,3BE,Italy,15/07/2007,37135
18940,HANIE,LEONARDO,LAVAGNO,5AL,Italy,26/08/2006,37050
20390,ZANETTI,FRANCESCO,ILLASI,2LE,Moldova,01/02/2007,37137
18650,CANNELLA,MATTEO,VERONA,1ME,Italy,29/12/2005,37066
19570,GORBEI,ANDREA,SONA,2CI,Italy,21/04/2006,37026
19713,TEZZA,ALESSANDRO,VERONA,5EI,Italy,07/01/2007,37126
18611,BULIGA,PIETRO,VERONA,2DI,Italy,05/08/2007,37023
19574,SOLDANI,NICOLA,SAN GIOVANNI LUPATOTO,1RI,Italy,06/02/2007,37031
20139,SPINELLI,XUELI,ROVERE' VERONESE,3EI,Italy,03/05/2003,37134
19913,GIRELLI,MARICA,GREZZANA,5AL,Italy,02/09/2007,37068
20137,IASELLA,SARA STEFANIA,VILLAFRANCA DI VERONA,3AI,Italy,13/02/2007,37057
18251,CARLINI,STEFANO,SAN MARTINO BUON ALBERGO,5DI,Italy,17/01/2005,37051
19840,CORSI,DENISA MADALINA,RONCO ALL'ADIGE,3AC,Albania,16/12/2007,37057
19661,CONTATO,ELIA,CAVAION VERONESE,5CI,Italy,10/04/2004,37121
20149,FERNANDO WARNAKULASURIYA,EDOARDO,VALEGGIO SUL MINCIO,1RI,Italy,08/01/2007,37057
20127,SENO,GABRIELE,VERONA,4AT,Italy,27/12/2007,37131
19565,SPERANDIO,MATTEO,SAN BONIFACIO,2HL,Italy,29/12/2007,37039
20276,DE CONTI,MOHAMED YASSINE,CAPRINO VERONESE,3GI,Italy,08/04/2003,37139
19755,MORO,LIAM,MARANO DI VALPOLICELLA,3AC,Italy,30/05/2003,37050
19894,BASARAB,SARA,LAVAGNO,1GL,Italy,29/05/2006,37023
19229,FONTANA,ALESSANDRO,VERONA,3BE,Italy,24/06/2005,37057
19846,KAJTAZOVIC,NICOLAE,MEZZANE DI SOTTO,2LE,Italy,08/01/2005,37141
17696,TATARU,DAVID,ISOLA DELLA SCALA,3BI,Italy,05/02/2003,37050
19724,UGOLINI,CRISTIANO,VERONA,3BI,Italy,19/05/2005,37026
19611,MUNNIPURAGE FERNANDO,TOMMASO,MOZZECANE,5BI,Italy,06/01/2003,37059
18756,EZZEBDI,ANDREJ,BUSSOLENGO,3GI,Italy,22/10/2005,37138
18542,BENDINELLI,ANDREA,CASTEL D'AZZANO,2NE,Italy,21/04/2005,37126
18584,KURUKULASURIYA,DAMIANO,ROVERE' VERONESE,4AL,Romania,07/03/2001,37024
19428,MARITATI,ANDREA,VERONA,1QL,Romania,16/11/2007,37057
18938,COLTRI,CORNELIU,SAN MARTINO BUON ALBERGO,2PE,Italy,13/05/2007,37069
20345,GIROTTO,MATTIA,MARANO DI VALPOLICELLA,5BI,Italy,25/05/2006,37050
18798,RUZZENENTE,SUKHMEET,VERONA,3BL,Philippines,23/01/2004,37020
20286,HYSA,GIANLUCA,AFFI,5AL,Italy,07/05/2003,37134
19675,DATTOLA,DAVIDE,VERONA,5DI,Italy,06/09/2002,37010
19070,MURA,MATTEO,ISOLA DELLA SCALA,1QL,Italy,07/09/2007,37122
20309,DARZEZA,KRISTIAN,BADIA CALAVENA,2FL,Italy,23/05/2007,37012
19786,PERINI,RICCARDO,PESCANTINA,1QL,Italy,27/07/2006,37060
20542,GURARI,CRISTOFOR,VERONA,1GL,Brazil,22/08/2005,37062
